assessment_name	assessment_number_questions	assessment_version	question_label	question_text	question_behavioral_trait	question_behavioral_trait_id	question_behavioral_trait_synset	question_direction	question_id	question_datatype	question_options
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD_SID	system auto-generated number			None	positive	11	LONGINT	
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD1	1. Makes a Lot of Careless Mistakes	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	14	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD2	2. Difficulty Sustaining Attention on Tasks/Play Activities	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	15	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD3	3. Doesn't Listen	listening	05d12128-8349-4c40-92f3-1343bcb2d6fa	listen.v.01	negative	16	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD4	4. Difficulty Following Instructions	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	17	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD5	5. Difficulty Organizing Tasks	organized	5885cbc5-7849-48d7-9fe2-ba07a3eeefd2	organized.a.02	negative	18	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD6	6. Dislikes/Avoids Tasks Requiring Attention	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	19	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD7	7. Loses Things	careless	e73b17d6-2a4c-496e-bef8-8a47c5161188	careless.a.01	positive	20	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD8	8. Easily Distracted	attentive	2f841e23-7458-4268-9e7f-64b6efa796f5	heedful.a.01	negative	21	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD9	9. Forgetful in Daily Activities	forgetful	0b62c78c-6167-406f-8426-cac55d39ba11	unretentive.a.01	positive	22	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD10	10. Fidget	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	23	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD11	11. Difficulty Remaining Seated	restless	f50e18d7-84e0-40cf-99ae-543e4cfe4e5e	restless.s.01	positive	24	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	73	1.2	CHILDADHD12	12. Runs or Climbs Excessively	energetic	adae9e15-4dde-4c50-a8b5-be9d6818c997	energetic.a.01	positive	25	INT	1|2|3|4|6|8|9
